data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
7757283,231,ETH6027,6027,"11 February 2021",2021,2,"Violence against civilians",Attack,"Military Forces of Ethiopia (2018-)",,1,"Civilians (Ethiopia)",,7,17,"Eastern Africa",Ethiopia,Tigray,"Eastern Tigray","Wukro town",Wikro,13.7919,39.5991,1,AFP,International,"Around 11 February 2021 (week of), Ethiopian soldiers shot and killed 18 people in Wikro (Eastern Tigray, Tigray).",18,1618490716,ETH
7682802,231,ETH5940,5940,"11 February 2021",2021,1,Riots,"Violent demonstration","Rioters (Ethiopia)",,5,"Military Forces of Ethiopia (2018-)",,1,15,"Eastern Africa",Ethiopia,Tigray,"North Western Tigray","Tahtay Koraro",Shire,14.1383,38.2833,1,"BBC News",International,"On 11 February 2021, demonstrators in Shire (Western Tigray, Tigray) clashed with federal troops who advanced to disperse crowds. Two demonstrators were killed by federal forces. Demonstrations were called after a delegation of religious and political leaders arrived in the city following military operations, with residents denouncing the military operations and subsequent food shortages. [size=no report]",2,1618490719,ETH
7792643,231,ETH6415,6415,"10 February 2021",2021,3,Battles,"Armed clash","Military Forces of Ethiopia (2018-)","Police Forces of Ethiopia (2018-) Amhara Regional Special Forces; Military Forces of Eritrea (1993-)",1,"TPLF: Tigray Peoples Liberation Front","Tigray Ethnic Militia (Ethiopia)",3,13,"Eastern Africa",Ethiopia,Tigray,"South Eastern Tigray",Saharti,Gijet,13.3226,39.1744,2,"University of Ghent Tigray Conflict Atlas",Other,"Around 10 February 2021 (month of), the occurrence of conflict across Tigray was ongoing from Nov 4 2020 and into 2021. The details of the exact events are not known, but active conflict locations were discerned via field interviews. ACLED recorded the dates of the ongoing early conflict to represent the ongoing violence. All locations affected by violence are repeated for Feb 10 and Feb 20. These are estimates of the ongoing and repeated clashes between the ENDF/EDF and the Tigrayan forces, represented by TPLF/TDF. Event reportedly occurred in or around Gijet (South Eastern, Tigray).",0,1618490722,ETH
7792398,231,ETH6395,6395,"10 February 2021",2021,3,Battles,"Armed clash","Military Forces of Ethiopia (2018-)","Police Forces of Ethiopia (2018-) Amhara Regional Special Forces; Military Forces of Eritrea (1993-)",1,"TPLF: Tigray Peoples Liberation Front","Tigray Ethnic Militia (Ethiopia)",3,13,"Eastern Africa",Ethiopia,Tigray,"South Eastern Tigray",Samre,"Adi Hibubla",13.1983,39.1803,2,"University of Ghent Tigray Conflict Atlas",Other,"Around 10 February 2021 (month of), the occurrence of conflict across Tigray was ongoing from Nov 4 2020 and into 2021. The details of the exact events are not known, but active conflict locations were discerned via field interviews. ACLED recorded the dates of the ongoing early conflict to represent the ongoing violence. All locations affected by violence are repeated for Feb 10 and Feb 20. These are estimates of the ongoing and repeated clashes between the ENDF/EDF and the Tigrayan forces, represented by TPLF/TDF. Event reportedly occurred in or around Adi Hibubla (South Eastern, Tigray).",0,1618490723,ETH
7792403,231,ETH6389,6389,"10 February 2021",2021,3,Battles,"Armed clash","Military Forces of Ethiopia (2018-)","Military Forces of Eritrea (1993-)",1,"TPLF: Tigray Peoples Liberation Front","Tigray Ethnic Militia (Ethiopia)",3,13,"Eastern Africa",Ethiopia,Tigray,"Central Tigray",Endafelasi,"Addi Felassie",13.8333,38.8833,2,"University of Ghent Tigray Conflict Atlas",Other,"Around 10 February 2021 (month of), the occurrence of conflict across Tigray was ongoing from Nov 4 2020 and into 2021. The details of the exact events are not known, but active conflict locations were discerned via field interviews. ACLED recorded the dates of the ongoing early conflict to represent the ongoing violence. All locations affected by violence are repeated for Feb 10 and Feb 20. These are estimates of the ongoing and repeated clashes between the ENDF/EDF and the Tigrayan forces, represented by TPLF/TDF. Event reportedly occurred in or around Addi Felassie (Central Tigray, Tigray).",0,1617652753,ETH
7792662,231,ETH6402,6402,"10 February 2021",2021,3,Battles,"Armed clash","Military Forces of Ethiopia (2018-)","Police Forces of Ethiopia (2018-) Amhara Regional Special Forces; Military Forces of Eritrea (1993-)",1,"TPLF: Tigray Peoples Liberation Front","Tigray Ethnic Militia (Ethiopia)",3,13,"Eastern Africa",Ethiopia,Tigray,"South Eastern Tigray",Samre,Berezba,13.0456,39.2589,2,"University of Ghent Tigray Conflict Atlas",Other,"Around 10 February 2021 (month of), the occurrence of conflict across Tigray was ongoing from Nov 4 2020 and into 2021. The details of the exact events are not known, but active conflict locations were discerned via field interviews. ACLED recorded the dates of the ongoing early conflict to represent the ongoing violence. All locations affected by violence are repeated for Feb 10 and Feb 20. These are estimates of the ongoing and repeated clashes between the ENDF/EDF and the Tigrayan forces, represented by TPLF/TDF. Event reportedly occurred in or around Berezba (South Eastern, Tigray).",0,1618490726,ETH
7792674,231,ETH6416,6416,"10 February 2021",2021,3,Battles,"Armed clash","Military Forces of Ethiopia (2018-)","Police Forces of Ethiopia (2018-) Amhara Regional Special Forces; Military Forces of Eritrea (1993-)",1,"TPLF: Tigray Peoples Liberation Front","Tigray Ethnic Militia (Ethiopia)",3,13,"Eastern Africa",Ethiopia,Tigray,"South Eastern Tigray",Samre,Hatami,13.1777,39.0747,2,"University of Ghent Tigray Conflict Atlas",Other,"Around 10 February 2021 (month of), the occurrence of conflict across Tigray was ongoing from Nov 4 2020 and into 2021. The details of the exact events are not known, but active conflict locations were discerned via field interviews. ACLED recorded the dates of the ongoing early conflict to represent the ongoing violence. All locations affected by violence are repeated for Feb 10 and Feb 20. These are estimates of the ongoing and repeated clashes between the ENDF/EDF and the Tigrayan forces, represented by TPLF/TDF. Event reportedly occurred in or around Hatami (South Eastern, Tigray).",0,1618490730,ETH
7792421,231,ETH6388,6388,"10 February 2021",2021,3,Battles,"Armed clash","Military Forces of Ethiopia (2018-)","Military Forces of Eritrea (1993-)",1,"TPLF: Tigray Peoples Liberation Front","Tigray Ethnic Militia (Ethiopia)",3,13,"Eastern Africa",Ethiopia,Tigray,"North Western Tigray",Dima,"Addi Colo",13.6833,38.3833,2,"University of Ghent Tigray Conflict Atlas",Other,"Around 10 February 2021 (month of), the occurrence of conflict across Tigray was ongoing from Nov 4 2020 and into 2021. The details of the exact events are not known, but active conflict locations were discerned via field interviews. ACLED recorded the dates of the ongoing early conflict to represent the ongoing violence. All locations affected by violence are repeated for Feb 10 and Feb 20. These are estimates of the ongoing and repeated clashes between the ENDF/EDF and the Tigrayan forces, represented by TPLF/TDF. Event reportedly occurred in or around Addi Colo (North Western, Tigray).",0,1618490731,ETH
7771688,231,ETH5928,5928,"10 February 2021",2021,1,Protests,"Peaceful protest","Protesters (Ethiopia)",,6,,,0,60,"Eastern Africa",Ethiopia,Tigray,"Eastern Tigray","Freweyni town",Freweyni,14.0542,39.5773,1,"BBC News",International,"On 10 February 2021, protests that started the day prior in Mekelle (coded separately) spread to Adigrat, Wikro, Freweyni (Tigray) and Edaga Hamus. Troops engaged protesters in Wikro and Adigrat, no fatalities reported. Demonstrations were called after a delegation of religious and political leaders arrived in the city following military operations, with residents denouncing the military operations and subsequent food shortages. [size=no report]",0,1617057651,ETH
7792682,231,ETH6405,6405,"10 February 2021",2021,3,Battles,"Armed clash","Military Forces of Ethiopia (2018-)","Military Forces of Eritrea (1993-)",1,"TPLF: Tigray Peoples Liberation Front","Tigray Ethnic Militia (Ethiopia)",3,13,"Eastern Africa",Ethiopia,Tigray,"Southern Tigray",Endamehoni,Chekol,12.7,39.5,2,"University of Ghent Tigray Conflict Atlas",Other,"Around 10 February 2021 (month of), the occurrence of conflict across Tigray was ongoing from Nov 4 2020 and into 2021. The details of the exact events are not known, but active conflict locations were discerned via field interviews. ACLED recorded the dates of the ongoing early conflict to represent the ongoing violence. All locations affected by violence are repeated for Feb 10 and Feb 20. These are estimates of the ongoing and repeated clashes between the ENDF/EDF and the Tigrayan forces, represented by TPLF/TDF. Event reportedly occurred in or around Chekol (Southern Tigray, Tigray).",0,1617652754,ETH
7792430,231,ETH6391,6391,"10 February 2021",2021,3,Battles,"Armed clash","Military Forces of Ethiopia (2018-)","Military Forces of Eritrea (1993-)",1,"TPLF: Tigray Peoples Liberation Front","Tigray Ethnic Militia (Ethiopia)",3,13,"Eastern Africa",Ethiopia,Tigray,"Central Tigray","Tanqua Melashe","Adi Azuka",13.5027,39.0122,2,"University of Ghent Tigray Conflict Atlas",Other,"Around 10 February 2021 (month of), the occurrence of conflict across Tigray was ongoing from Nov 4 2020 and into 2021. The details of the exact events are not known, but active conflict locations were discerned via field interviews. ACLED recorded the dates of the ongoing early conflict to represent the ongoing violence. All locations affected by violence are repeated for Feb 10 and Feb 20. These are estimates of the ongoing and repeated clashes between the ENDF/EDF and the Tigrayan forces, represented by TPLF/TDF. Event reportedly occurred in or around Adi Azuka (Central Tigray, Tigray).",0,1617652753,ETH
7792433,231,ETH6394,6394,"10 February 2021",2021,3,Battles,"Armed clash","Military Forces of Ethiopia (2018-)","Police Forces of Ethiopia (2018-) Amhara Regional Special Forces; Military Forces of Eritrea (1993-)",1,"TPLF: Tigray Peoples Liberation Front","Tigray Ethnic Militia (Ethiopia)",3,13,"Eastern Africa",Ethiopia,Tigray,"South Eastern Tigray",Adigudom,"Adi Gudem",13.2476,39.5194,2,"University of Ghent Tigray Conflict Atlas",Other,"Around 10 February 2021 (month of), the occurrence of conflict across Tigray was ongoing from Nov 4 2020 and into 2021. The details of the exact events are not known, but active conflict locations were discerned via field interviews. ACLED recorded the dates of the ongoing early conflict to represent the ongoing violence. All locations affected by violence are repeated for Feb 10 and Feb 20. These are estimates of the ongoing and repeated clashes between the ENDF/EDF and the Tigrayan forces, represented by TPLF/TDF. Event reportedly occurred in or around Adi Gudem (South Eastern Tigray, Tigray).",0,1618490734,ETH
7792434,231,ETH6400,6400,"10 February 2021",2021,3,Battles,"Armed clash","Military Forces of Ethiopia (2018-)","Military Forces of Eritrea (1993-)",1,"TPLF: Tigray Peoples Liberation Front","Tigray Ethnic Militia (Ethiopia)",3,13,"Eastern Africa",Ethiopia,Tigray,"Southern Tigray",Chercher,Angolaba,12.45,39.75,2,"University of Ghent Tigray Conflict Atlas",Other,"Around 10 February 2021 (month of), the occurrence of conflict across Tigray was ongoing from Nov 4 2020 and into 2021. The details of the exact events are not known, but active conflict locations were discerned via field interviews. ACLED recorded the dates of the ongoing early conflict to represent the ongoing violence. All locations affected by violence are repeated for Feb 10 and Feb 20. These are estimates of the ongoing and repeated clashes between the ENDF/EDF and the Tigrayan forces, represented by TPLF/TDF. Event reportedly occurred in or around Angolaba (Southern Tigray, Tigray).",0,1617652753,ETH
7792692,231,ETH6430,6430,"10 February 2021",2021,3,Battles,"Armed clash","Military Forces of Ethiopia (2018-)","Military Forces of Eritrea (1993-)",1,"TPLF: Tigray Peoples Liberation Front","Tigray Ethnic Militia (Ethiopia)",3,13,"Eastern Africa",Ethiopia,Tigray,"Eastern Tigray","Gulo Mekeda",Sebca,14.4686,39.5133,2,"University of Ghent Tigray Conflict Atlas",Other,"Around 10 February 2021 (month of), the occurrence of conflict across Tigray was ongoing from Nov 4 2020 and into 2021. The details of the exact events are not known, but active conflict locations were discerned via field interviews. ACLED recorded the dates of the ongoing early conflict to represent the ongoing violence. All locations affected by violence are repeated for Feb 10 and Feb 20. These are estimates of the ongoing and repeated clashes between the ENDF/EDF and the Tigrayan forces, represented by TPLF/TDF. Event reportedly occurred in or around Sebca (Eastern Tigray, Tigray).",0,1617652754,ETH
7771957,231,ETH5927,5927,"10 February 2021",2021,1,Protests,"Protest with intervention","Protesters (Ethiopia)","Students (Ethiopia)",6,"Police Forces of Ethiopia (2018-)",,1,16,"Eastern Africa",Ethiopia,"Dire Dawa","Dire Dawa urban","Gende Kore","Dire Dawa",9.6008,41.8499,1,"Oromiya Media Network",International,"On 10 February 2021, students in Dire Dawa town (Oromia) demonstrated against the continued detainment of political prisoners, demanding their release and an end to political instability in Oromia. Police quickly broke up the protests, leaving 4 people injured. [size=no report]",0,1618490736,ETH
7682876,231,ETH5933,5933,"10 February 2021",2021,1,"Strategic developments",Arrests,"Police Forces of Ethiopia (2018-)",,1,"OLF: Oromo Liberation Front (Shane Splinter Faction)",,2,12,"Eastern Africa",Ethiopia,Oromia,"East Shewa","Adama town",Nazreth,8.55,39.267,2,EBC,National,"Arrests: On 10 February 2021, 33 OLF/Shane militants were reportedly arrested in East Shewa zone, Oromia region. Exact location unspecified, coded to the zone capital, Nazreth.",0,1618490738,ETH
7792702,231,ETH6417,6417,"10 February 2021",2021,3,Battles,"Armed clash","Military Forces of Ethiopia (2018-)","Military Forces of Eritrea (1993-)",1,"TPLF: Tigray Peoples Liberation Front","Tigray Ethnic Militia (Ethiopia)",3,13,"Eastern Africa",Ethiopia,Tigray,"North Western Tigray","Indasilassie town","Inda Silase",14.1031,38.2829,2,"University of Ghent Tigray Conflict Atlas",Other,"Around 10 February 2021 (month of), the occurrence of conflict across Tigray was ongoing from Nov 4 2020 and into 2021. The details of the exact events are not known, but active conflict locations were discerned via field interviews. ACLED recorded the dates of the ongoing early conflict to represent the ongoing violence. All locations affected by violence are repeated for Feb 10 and Feb 20. These are estimates of the ongoing and repeated clashes between the ENDF/EDF and the Tigrayan forces, represented by TPLF/TDF. Event reportedly occurred in or around Inda Silase (North Western, Tigray).",0,1618490739,ETH
7792704,231,ETH6418,6418,"10 February 2021",2021,3,Battles,"Armed clash","Military Forces of Ethiopia (2018-)","Military Forces of Eritrea (1993-)",1,"TPLF: Tigray Peoples Liberation Front","Tigray Ethnic Militia (Ethiopia)",3,13,"Eastern Africa",Ethiopia,Tigray,"North Western Tigray","Endabaguna town",Indabaguna,13.9494,38.1842,2,"University of Ghent Tigray Conflict Atlas",Other,"Around 10 February 2021 (month of), the occurrence of conflict across Tigray was ongoing from Nov 4 2020 and into 2021. The details of the exact events are not known, but active conflict locations were discerned via field interviews. ACLED recorded the dates of the ongoing early conflict to represent the ongoing violence. All locations affected by violence are repeated for Feb 10 and Feb 20. These are estimates of the ongoing and repeated clashes between the ENDF/EDF and the Tigrayan forces, represented by TPLF/TDF. Event reportedly occurred in or around Indabaguna (North Western, Tigray).",0,1618490741,ETH
7792449,231,ETH6396,6396,"10 February 2021",2021,3,Battles,"Armed clash","Military Forces of Ethiopia (2018-)","Military Forces of Eritrea (1993-)",1,"TPLF: Tigray Peoples Liberation Front","Tigray Ethnic Militia (Ethiopia)",3,13,"Eastern Africa",Ethiopia,Tigray,"Central Tigray",Endafelasi,"Adi Momena",13.9,38.9833,2,"University of Ghent Tigray Conflict Atlas",Other,"Around 10 February 2021 (month of), the occurrence of conflict across Tigray was ongoing from Nov 4 2020 and into 2021. The details of the exact events are not known, but active conflict locations were discerned via field interviews. ACLED recorded the dates of the ongoing early conflict to represent the ongoing violence. All locations affected by violence are repeated for Feb 10 and Feb 20. These are estimates of the ongoing and repeated clashes between the ENDF/EDF and the Tigrayan forces, represented by TPLF/TDF. Event reportedly occurred in or around Adi Momena (Central Tigray, Tigray).",0,1617652753,ETH
7792714,231,ETH6432,6432,"10 February 2021",2021,3,Battles,"Armed clash","Military Forces of Ethiopia (2018-)","Military Forces of Eritrea (1993-)",1,"TPLF: Tigray Peoples Liberation Front","Tigray Ethnic Militia (Ethiopia)",3,13,"Eastern Africa",Ethiopia,Tigray,"Central Tigray",Rama,Tebay,14.4734,38.8453,2,"University of Ghent Tigray Conflict Atlas",Other,"Around 10 February 2021 (month of), the occurrence of conflict across Tigray was ongoing from Nov 4 2020 and into 2021. The details of the exact events are not known, but active conflict locations were discerned via field interviews. ACLED recorded the dates of the ongoing early conflict to represent the ongoing violence. All locations affected by violence are repeated for Feb 10 and Feb 20. These are estimates of the ongoing and repeated clashes between the ENDF/EDF and the Tigrayan forces, represented by TPLF/TDF. Event reportedly occurred in or around Tebay (Central Tigray, Tigray).",0,1617652754,ETH
7792722,231,ETH6408,6408,"10 February 2021",2021,3,Battles,"Armed clash","Military Forces of Ethiopia (2018-)","Police Forces of Ethiopia (2018-) Amhara Regional Special Forces; Military Forces of Eritrea (1993-)",1,"TPLF: Tigray Peoples Liberation Front","Tigray Ethnic Militia (Ethiopia)",3,13,"Eastern Africa",Ethiopia,Tigray,"South Eastern Tigray",Wajirat,Debub,13.0769,39.6363,2,"University of Ghent Tigray Conflict Atlas",Other,"Around 10 February 2021 (month of), the occurrence of conflict across Tigray was ongoing from Nov 4 2020 and into 2021. The details of the exact events are not known, but active conflict locations were discerned via field interviews. ACLED recorded the dates of the ongoing early conflict to represent the ongoing violence. All locations affected by violence are repeated for Feb 10 and Feb 20. These are estimates of the ongoing and repeated clashes between the ENDF/EDF and the Tigrayan forces, represented by TPLF/TDF. Event reportedly occurred in or around Debub (South Eastern, Tigray).",0,1618490749,ETH
7792724,231,ETH6419,6419,"10 February 2021",2021,3,Battles,"Armed clash","Military Forces of Ethiopia (2018-)","Military Forces of Eritrea (1993-)",1,"TPLF: Tigray Peoples Liberation Front","Tigray Ethnic Militia (Ethiopia)",3,13,"Eastern Africa",Ethiopia,Tigray,"Central Tigray","Laelay Maychew",Kiwadat,14.0933,38.6516,2,"University of Ghent Tigray Conflict Atlas",Other,"Around 10 February 2021 (month of), the occurrence of conflict across Tigray was ongoing from Nov 4 2020 and into 2021. The details of the exact events are not known, but active conflict locations were discerned via field interviews. ACLED recorded the dates of the ongoing early conflict to represent the ongoing violence. All locations affected by violence are repeated for Feb 10 and Feb 20. These are estimates of the ongoing and repeated clashes between the ENDF/EDF and the Tigrayan forces, represented by TPLF/TDF. Event reportedly occurred in or around Kiwadat (Central Tigray, Tigray).",0,1617652754,ETH
7792726,231,ETH6409,6409,"10 February 2021",2021,3,Battles,"Armed clash","Military Forces of Ethiopia (2018-)","Military Forces of Eritrea (1993-)",1,"TPLF: Tigray Peoples Liberation Front","Tigray Ethnic Militia (Ethiopia)",3,13,"Eastern Africa",Ethiopia,Tigray,"North Western Tigray",Asgede,Dedioit,14.03,38.0049,2,"University of Ghent Tigray Conflict Atlas",Other,"Around 10 February 2021 (month of), the occurrence of conflict across Tigray was ongoing from Nov 4 2020 and into 2021. The details of the exact events are not known, but active conflict locations were discerned via field interviews. ACLED recorded the dates of the ongoing early conflict to represent the ongoing violence. All locations affected by violence are repeated for Feb 10 and Feb 20. These are estimates of the ongoing and repeated clashes between the ENDF/EDF and the Tigrayan forces, represented by TPLF/TDF. Event reportedly occurred in or around Dedioit (North Western, Tigray).",0,1618490750,ETH
7792728,231,ETH6434,6434,"10 February 2021",2021,3,Battles,"Armed clash","Military Forces of Ethiopia (2018-)","Police Forces of Ethiopia (2018-) Amhara Regional Special Forces; Military Forces of Eritrea (1993-)",1,"TPLF: Tigray Peoples Liberation Front","Tigray Ethnic Militia (Ethiopia)",3,13,"Eastern Africa",Ethiopia,Tigray,"South Eastern Tigray",Samre,"Tsaida Sairi",13.1232,39.2438,2,"University of Ghent Tigray Conflict Atlas",Other,"Around 10 February 2021 (month of), the occurrence of conflict across Tigray was ongoing from Nov 4 2020 and into 2021. The details of the exact events are not known, but active conflict locations were discerned via field interviews. ACLED recorded the dates of the ongoing early conflict to represent the ongoing violence. All locations affected by violence are repeated for Feb 10 and Feb 20. These are estimates of the ongoing and repeated clashes between the ENDF/EDF and the Tigrayan forces, represented by TPLF/TDF. Event reportedly occurred in or around Tsaida Sairi (South Eastern, Tigray).",0,1618490751,ETH
7683165,231,ETH5925,5925,"10 February 2021",2021,1,Battles,"Armed clash","Somali Ethnic Militia (Ethiopia)",,4,"Afar Ethnic Militia (Ethiopia)",,4,44,"Eastern Africa",Ethiopia,Afar,"Gabi-Zone 3","Awash town",Awash,8.9833,40.1667,2,"Undisclosed Source","Local partner-Other","On 10 February 2021, clashes erupted between Somali and Afar ethnic militias in Andido kebele, in Amibera woreda (Awash, Gebi zone, Afar). No fatalities were specified by the source.",0,1618490751,ETH
7792740,231,ETH6435,6435,"10 February 2021",2021,3,Battles,"Armed clash","Military Forces of Ethiopia (2018-)","Military Forces of Eritrea (1993-)",1,"TPLF: Tigray Peoples Liberation Front","Tigray Ethnic Militia (Ethiopia)",3,13,"Eastern Africa",Ethiopia,Tigray,"Central Tigray","Keyhe tekli",Uorieghe,13.7167,39,2,"University of Ghent Tigray Conflict Atlas",Other,"Around 10 February 2021 (month of), the occurrence of conflict across Tigray was ongoing from Nov 4 2020 and into 2021. The details of the exact events are not known, but active conflict locations were discerned via field interviews. ACLED recorded the dates of the ongoing early conflict to represent the ongoing violence. All locations affected by violence are repeated for Feb 10 and Feb 20. These are estimates of the ongoing and repeated clashes between the ENDF/EDF and the Tigrayan forces, represented by TPLF/TDF. Event reportedly occurred in or around Uorieghe (Central Tigray, Tigray).",0,1617652754,ETH
7792486,231,ETH6410,6410,"10 February 2021",2021,3,Battles,"Armed clash","Military Forces of Ethiopia (2018-)","Military Forces of Eritrea (1993-)",1,"TPLF: Tigray Peoples Liberation Front","Tigray Ethnic Militia (Ethiopia)",3,13,"Eastern Africa",Ethiopia,Tigray,"Eastern Tigray",Hawzen,Dongwar,13.9654,39.3762,2,"University of Ghent Tigray Conflict Atlas",Other,"Around 10 February 2021 (month of), the occurrence of conflict across Tigray was ongoing from Nov 4 2020 and into 2021. The details of the exact events are not known, but active conflict locations were discerned via field interviews. ACLED recorded the dates of the ongoing early conflict to represent the ongoing violence. All locations affected by violence are repeated for Feb 10 and Feb 20. These are estimates of the ongoing and repeated clashes between the ENDF/EDF and the Tigrayan forces, represented by TPLF/TDF. Event reportedly occurred in or around Dongwar (Eastern Tigray, Tigray).",0,1617652753,ETH
7792746,231,ETH6437,6437,"10 February 2021",2021,3,Battles,"Armed clash","Military Forces of Ethiopia (2018-)","Military Forces of Eritrea (1993-)",1,"TPLF: Tigray Peoples Liberation Front","Tigray Ethnic Militia (Ethiopia)",3,13,"Eastern Africa",Ethiopia,Tigray,"Central Tigray","Tahtay Mayechew",Wkro,14.1231,38.5948,2,"University of Ghent Tigray Conflict Atlas",Other,"Around 10 February 2021 (month of), the occurrence of conflict across Tigray was ongoing from Nov 4 2020 and into 2021. The details of the exact events are not known, but active conflict locations were discerned via field interviews. ACLED recorded the dates of the ongoing early conflict to represent the ongoing violence. All locations affected by violence are repeated for Feb 10 and Feb 20. These are estimates of the ongoing and repeated clashes between the ENDF/EDF and the Tigrayan forces, represented by TPLF/TDF. Event reportedly occurred in or around Wkro (Central Tigray, Tigray).",0,1617652754,ETH
7792749,231,ETH6436,6436,"10 February 2021",2021,3,Battles,"Armed clash","Military Forces of Ethiopia (2018-)","Military Forces of Eritrea (1993-)",1,"TPLF: Tigray Peoples Liberation Front","Tigray Ethnic Militia (Ethiopia)",3,13,"Eastern Africa",Ethiopia,Tigray,"Southern Tigray",Chercher,"Weyra Wuha",12.45,39.7667,2,"University of Ghent Tigray Conflict Atlas",Other,"Around 10 February 2021 (month of), the occurrence of conflict across Tigray was ongoing from Nov 4 2020 and into 2021. The details of the exact events are not known, but active conflict locations were discerned via field interviews. ACLED recorded the dates of the ongoing early conflict to represent the ongoing violence. All locations affected by violence are repeated for Feb 10 and Feb 20. These are estimates of the ongoing and repeated clashes between the ENDF/EDF and the Tigrayan forces, represented by TPLF/TDF. Event reportedly occurred in or around Weyra Wuha (Southern Tigray, Tigray).",0,1617652754,ETH
7793520,231,ETH5931,5931,"10 February 2021",2021,1,Protests,"Peaceful protest","Protesters (Ethiopia)",,6,,,0,60,"Eastern Africa",Ethiopia,Tigray,"Mekelle Tigray",Mekelle,Mekele,13.5,39.4667,1,"Undisclosed Source","Local partner-Other","On 10 February 2021, protests that began on the previous day (coded separately) continued in Mekele city (Southern Tigray, Tigray). Demonstrations were called after a delegation of religious and political leaders arrived in the city following military operations, with residents denouncing the military operations and subsequent food shortages. [size=no report]",0,1618490757,ETH
7792500,231,ETH6412,6412,"10 February 2021",2021,3,Battles,"Armed clash","Military Forces of Ethiopia (2018-)","Military Forces of Eritrea (1993-)",1,"TPLF: Tigray Peoples Liberation Front","Tigray Ethnic Militia (Ethiopia)",3,13,"Eastern Africa",Ethiopia,Tigray,"Central Tigray",Hahayle,Feresmay,14.1833,39.1333,2,"University of Ghent Tigray Conflict Atlas",Other,"Around 10 February 2021 (month of), the occurrence of conflict across Tigray was ongoing from Nov 4 2020 and into 2021. The details of the exact events are not known, but active conflict locations were discerned via field interviews. ACLED recorded the dates of the ongoing early conflict to represent the ongoing violence. All locations affected by violence are repeated for Feb 10 and Feb 20. These are estimates of the ongoing and repeated clashes between the ENDF/EDF and the Tigrayan forces, represented by TPLF/TDF. Event reportedly occurred in or around Feresmay (Central Tigray, Tigray).",0,1617652753,ETH
7792504,231,ETH6413,6413,"10 February 2021",2021,3,Battles,"Armed clash","Military Forces of Ethiopia (2018-)","Police Forces of Ethiopia (2018-) Amhara Regional Special Forces; Military Forces of Eritrea (1993-)",1,"TPLF: Tigray Peoples Liberation Front","Tigray Ethnic Militia (Ethiopia)",3,13,"Eastern Africa",Ethiopia,Tigray,"South Eastern Tigray",Samre,Finarwa,13.1005,39.0235,2,"University of Ghent Tigray Conflict Atlas",Other,"Around 10 February 2021 (month of), the occurrence of conflict across Tigray was ongoing from Nov 4 2020 and into 2021. The details of the exact events are not known, but active conflict locations were discerned via field interviews. ACLED recorded the dates of the ongoing early conflict to represent the ongoing violence. All locations affected by violence are repeated for Feb 10 and Feb 20. These are estimates of the ongoing and repeated clashes between the ENDF/EDF and the Tigrayan forces, represented by TPLF/TDF. Event reportedly occurred in or around Finarwa (South Eastern, Tigray).",0,1618490763,ETH
7792507,231,ETH6411,6411,"10 February 2021",2021,3,Battles,"Armed clash","Military Forces of Ethiopia (2018-)","Military Forces of Eritrea (1993-)",1,"TPLF: Tigray Peoples Liberation Front","Tigray Ethnic Militia (Ethiopia)",3,13,"Eastern Africa",Ethiopia,Tigray,"Eastern Tigray",Hawzen,"Enda Mariam Sebela",13.9417,39.454,2,"University of Ghent Tigray Conflict Atlas",Other,"Around 10 February 2021 (month of), the occurrence of conflict across Tigray was ongoing from Nov 4 2020 and into 2021. The details of the exact events are not known, but active conflict locations were discerned via field interviews. ACLED recorded the dates of the ongoing early conflict to represent the ongoing violence. All locations affected by violence are repeated for Feb 10 and Feb 20. These are estimates of the ongoing and repeated clashes between the ENDF/EDF and the Tigrayan forces, represented by TPLF/TDF. Event reportedly occurred in or around Enda Mariam Sebela (Eastern Tigray, Tigray).",0,1617652754,ETH
7792519,231,ETH6414,6414,"10 February 2021",2021,3,Battles,"Armed clash","Military Forces of Ethiopia (2018-)","Military Forces of Eritrea (1993-)",1,"TPLF: Tigray Peoples Liberation Front","Tigray Ethnic Militia (Ethiopia)",3,13,"Eastern Africa",Ethiopia,Tigray,"Central Tigray",Abergele,Gera,13.4167,38.95,2,"University of Ghent Tigray Conflict Atlas",Other,"Around 10 February 2021 (month of), the occurrence of conflict across Tigray was ongoing from Nov 4 2020 and into 2021. The details of the exact events are not known, but active conflict locations were discerned via field interviews. ACLED recorded the dates of the ongoing early conflict to represent the ongoing violence. All locations affected by violence are repeated for Feb 10 and Feb 20. These are estimates of the ongoing and repeated clashes between the ENDF/EDF and the Tigrayan forces, represented by TPLF/TDF. Event reportedly occurred in or around Gera (Central Tigray, Tigray).",0,1618490772,ETH
